Bird,ATLAS,Date,N,Duration,Distance,Straightness,Speed,dayref,ScaledDay,Pen,Sex,Mass,ScaledMass,Spatial_Score,SpatialRating,Test_Order,ScaledTestOrder
940,44001004083,18/09/2017,69,22200,27.70248322,0.014704201,0.00124786,18,0.030118767,C,M,970,1.217649959,1,Bad,14,-1.073849219
1006,44001004006,27/09/2017,58,21600,107.7165682,0.057069669,0.004986878,27,1.208438689,B,F,730,-1.119097016,2,Ok,14,-1.073849219
940,44001004083,17/09/2017,44,21600,70.56955382,0.039429565,0.003267109,17,-0.100805669,C,M,970,1.217649959,1,Bad,14,-1.073849219
1008,44001004108,11/09/2017,69,21300,27.87607643,0.010116854,0.001308736,11,-0.886352283,B,M,880,0.341369844,3,Ok,19,-0.603559961
889,44001004030,16/09/2017,60,21300,39.72952486,0.02623081,0.001865236,16,-0.231730105,D,M,850,0.049276472,2,Ok,6.5,-1.779283106
974,44001004097,17/09/2017,52,21300,136.9415252,0.081756605,0.00642918,17,-0.100805669,B,M,930,0.82819213,2,Ok,37.5,1.136510295
830,44001004047,24/09/2017,66,20700,278.8078911,0.137118364,0.01346898,24,0.815665381,A,M,1030,1.801836703,2,Ok,20,-0.509502109
893,44001004127,16/09/2017,56,20700,202.7365345,0.138149319,0.009794035,16,-0.231730105,D,F,720,-1.216461473,2,Ok,34.5,0.85433674
836,44001004109,25/09/2017,65,20400,427.0931369,0.160571892,0.020935938,25,0.946589817,A,M,950,1.022921045,2,Ok,11,-1.356022774
920,44001004112,16/09/2017,44,20400,273.8209652,0.162032046,0.013422596,16,-0.231730105,C,M,850,0.049276472,1,Bad,24.5,-0.086241777
782,44001004063,18/09/2017,52,20100,106.9785743,0.066286463,0.005322317,18,0.030118767,A,F,900,0.536098758,1,Bad,30.5,0.478105333
993,44001004080,17/09/2017,47,20100,138.1360654,0.104164452,0.006872441,17,-0.100805669,B,M,1010,1.607107788,3,Ok,26.5,0.101873927
836,44001004109,09/09/2017,57,19800,159.3126967,0.081978859,0.008046096,9,-1.148201155,A,M,950,1.022921045,2,Ok,11,-1.356022774
861,44001004103,18/09/2017,35,19800,313.1185174,0.328840992,0.015814067,18,0.030118767,D,M,950,1.022921045,9,Good,4,-2.014427736
920,44001004112,30/09/2017,44,19800,186.2194271,0.133405484,0.009405022,30,1.601211996,C,M,850,0.049276472,1,Bad,24.5,-0.086241777
1008,44001004108,04/09/2017,62,19500,95.90650387,0.051906943,0.004918282,4,-1.802823334,B,M,880,0.341369844,3,Ok,19,-0.603559961
842,44001004156,23/09/2017,48,19500,98.0276237,0.043305023,0.005027058,23,0.684740946,D,M,980,1.315014417,2,Ok,14.5,-1.026820293
877,44001004113,09/09/2017,60,19500,302.4128883,0.161900255,0.015508353,9,-1.148201155,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
877,44001004113,16/09/2017,38,19500,320.2482755,0.263971488,0.016422988,16,-0.231730105,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
836,44001004109,21/09/2017,64,19200,191.1115746,0.098636907,0.009953728,21,0.422892074,A,M,950,1.022921045,2,Ok,11,-1.356022774
877,44001004113,29/09/2017,58,19200,336.5708863,0.196656551,0.017529734,29,1.47028756,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
809,44001004153,19/09/2017,64,18900,118.492218,0.074874194,0.00626943,19,0.161043203,A,M,940,0.925556587,1,Bad,19,-0.603559961
885,44001004077,29/09/2017,62,18900,142.4084345,0.086644413,0.007534838,29,1.47028756,C,F,670,-1.703283759,3,Ok,43,1.653828479
918,44001004116,08/09/2017,51,18900,170.0606399,0.109195306,0.008997917,8,-1.279125591,C,M,750,-0.924368101,4,Good,37,1.089481369
949,44001004175,17/09/2017,58,18900,162.454044,0.095752739,0.008595452,17,-0.100805669,C,F,750,-0.924368101,1,Bad,24,-0.133270702
963,44001004052,24/09/2017,64,18900,103.6370104,0.059986222,0.00548344,24,0.815665381,B,F,790,-0.534910272,3,Ok,30,0.431076407
974,44001004097,15/09/2017,59,18600,216.8232266,0.122904472,0.011657163,15,-0.36265454,B,M,930,0.82819213,2,Ok,37.5,1.136510295
993,44001004080,17/09/2017,55,18600,157.2732821,0.087298385,0.008455553,17,-0.100805669,B,M,1010,1.607107788,3,Ok,26.5,0.101873927
789,44001004160,17/09/2017,43,18300,189.1328349,0.123409085,0.010335128,17,-0.100805669,A,M,1000,1.509743331,1,Bad,30,0.431076407
877,44001004113,16/09/2017,50,18300,211.1270678,0.151289687,0.011536998,16,-0.231730105,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
993,44001004080,09/09/2017,61,18300,306.5477832,0.182448414,0.016751245,9,-1.148201155,B,M,1010,1.607107788,3,Ok,26.5,0.101873927
974,44001004097,08/09/2017,60,18000,36.23742995,0.025845202,0.002013191,8,-1.279125591,B,M,930,0.82819213,2,Ok,37.5,1.136510295
963,44001004052,30/09/2017,57,17700,107.5162167,0.074730304,0.006074363,30,1.601211996,B,F,790,-0.534910272,3,Ok,30,0.431076407
842,44001004156,23/09/2017,47,17400,355.8665221,0.185084099,0.020452099,23,0.684740946,D,M,980,1.315014417,2,Ok,14.5,-1.026820293
862,44001004095,27/09/2017,37,17400,407.5821417,0.454102573,0.023424261,27,1.208438689,C,M,940,0.925556587,0,Bad,26,0.054845001
949,44001004175,13/09/2017,55,17400,66.22186992,0.047859889,0.003805855,13,-0.624503412,C,F,750,-0.924368101,1,Bad,24,-0.133270702
974,44001004097,17/09/2017,42,17400,135.7219634,0.064126329,0.007800113,17,-0.100805669,B,M,930,0.82819213,2,Ok,37.5,1.136510295
1008,44001004108,12/09/2017,47,17100,257.5519475,0.23060578,0.015061517,12,-0.755427848,B,M,880,0.341369844,3,Ok,19,-0.603559961
809,44001004153,24/09/2017,57,16800,209.1155684,0.120696002,0.012447355,24,0.815665381,A,M,940,0.925556587,1,Bad,19,-0.603559961
810,44001004102,18/09/2017,53,16800,59.71566993,0.041351798,0.003554504,18,0.030118767,A,F,710,-1.31382593,1,Bad,23,-0.227328554
887,44001004162,19/09/2017,57,16800,19.28587309,0.013455202,0.001147969,19,0.161043203,D,M,860,0.146640929,1,Bad,28,0.242960704
949,44001004175,11/09/2017,54,16800,28.23190148,0.01538971,0.00168047,11,-0.886352283,C,F,750,-0.924368101,1,Bad,24,-0.133270702
1003,44001004036,18/09/2017,41,16500,171.6071771,0.108145723,0.010400435,18,0.030118767,B,M,940,0.925556587,3,Ok,30,0.431076407
809,44001004153,21/09/2017,54,16500,85.32624041,0.040062686,0.005171287,21,0.422892074,A,M,940,0.925556587,1,Bad,19,-0.603559961
877,44001004113,10/09/2017,41,16500,327.6498639,0.123550857,0.019857568,10,-1.017276719,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
809,44001004153,24/09/2017,47,16200,164.195298,0.086280335,0.010135512,24,0.815665381,A,M,940,0.925556587,1,Bad,19,-0.603559961
835,44001004045,13/09/2017,51,16200,58.86759305,0.039492108,0.003633802,13,-0.624503412,A,F,840,-0.048087985,1,Bad,24,-0.133270702
836,44001004109,12/09/2017,50,16200,172.0675539,0.148940705,0.010621454,12,-0.755427848,A,M,950,1.022921045,2,Ok,11,-1.356022774
856,44001004101,19/09/2017,52,16200,218.2001723,0.137746541,0.013469146,19,0.161043203,D,M,1000,1.509743331,4,Good,44.5,1.794915256
856,44001004101,11/09/2017,42,16200,118.4294891,0.108163939,0.007310462,11,-0.886352283,D,M,1000,1.509743331,4,Good,44.5,1.794915256
862,44001004095,16/09/2017,36,16200,103.418385,0.100778093,0.006383851,16,-0.231730105,C,M,940,0.925556587,0,Bad,26,0.054845001
877,44001004113,11/09/2017,53,16200,311.1589411,0.244609801,0.019207342,11,-0.886352283,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
889,44001004030,24/09/2017,54,16200,76.94811849,0.059340793,0.004749884,24,0.815665381,D,M,850,0.049276472,2,Ok,6.5,-1.779283106
974,44001004097,18/09/2017,38,16200,110.5342619,0.0835341,0.006823103,18,0.030118767,B,M,930,0.82819213,2,Ok,37.5,1.136510295
993,44001004080,16/09/2017,39,15900,89.96105382,0.066831373,0.005657928,16,-0.231730105,B,M,1010,1.607107788,3,Ok,26.5,0.101873927
1008,44001004108,18/09/2017,48,15600,321.8439309,0.233990244,0.020631021,18,0.030118767,B,M,880,0.341369844,3,Ok,19,-0.603559961
887,44001004162,26/09/2017,48,15600,124.5148845,0.089294919,0.007981723,26,1.077514253,D,M,860,0.146640929,1,Bad,28,0.242960704
974,44001004097,30/09/2017,48,15300,275.5911944,0.188081691,0.018012496,30,1.601211996,B,M,930,0.82819213,2,Ok,37.5,1.136510295
1008,44001004108,01/09/2017,35,15000,70.52435724,0.064601102,0.004701624,1,-2.195596641,B,M,880,0.341369844,3,Ok,19,-0.603559961
791,44001004168,15/09/2017,45,14700,224.9553468,0.15928559,0.015303085,15,-0.36265454,A,F,760,-0.827003644,2,Ok,17,-0.791675664
963,44001004052,16/09/2017,41,14700,119.6014314,0.133983304,0.008136152,16,-0.231730105,B,F,790,-0.534910272,3,Ok,30,0.431076407
836,44001004109,30/09/2017,46,14400,266.3639917,0.164061652,0.018497499,30,1.601211996,A,M,950,1.022921045,2,Ok,11,-1.356022774
861,44001004103,27/09/2017,31,14400,134.9898669,0.12515603,0.009374296,27,1.208438689,D,M,950,1.022921045,9,Good,4,-2.014427736
887,44001004162,24/09/2017,47,14400,125.0985534,0.100856199,0.0086874,24,0.815665381,D,M,860,0.146640929,1,Bad,28,0.242960704
958,44001004135,24/09/2017,49,14400,23.25550969,0.020319243,0.001614966,24,0.815665381,B,F,760,-0.827003644,2,Ok,35,0.901365666
974,44001004097,08/09/2017,49,14400,43.77889374,0.035431688,0.003040201,8,-1.279125591,B,M,930,0.82819213,2,Ok,37.5,1.136510295
792,44001004182,17/09/2017,30,14100,134.9168011,0.149921849,0.009568567,17,-0.100805669,A,F,720,-1.216461473,1,Bad,42,1.559770627
859,44001004094,20/09/2017,33,14100,63.3380446,0.083154973,0.00449206,20,0.291967638,D,M,860,0.146640929,5,Good,23.5,-0.180299628
989,44001004067,24/09/2017,48,14100,133.7044432,0.092120508,0.009482585,24,0.815665381,B,M,870,0.244005386,5,Good,31,0.525134259
782,44001004063,11/09/2017,43,13800,45.20841949,0.033040018,0.003275972,11,-0.886352283,A,F,900,0.536098758,1,Bad,30.5,0.478105333
836,44001004109,30/09/2017,44,13800,364.8272037,0.193937812,0.026436754,30,1.601211996,A,M,950,1.022921045,2,Ok,11,-1.356022774
949,44001004175,29/09/2017,24,13800,59.66051888,0.108481999,0.004323226,29,1.47028756,C,F,750,-0.924368101,1,Bad,24,-0.133270702
1006,44001004006,25/09/2017,39,13500,106.2645146,0.089178888,0.007871446,25,0.946589817,B,F,730,-1.119097016,2,Ok,14,-1.073849219
943,44001004071,17/09/2017,27,13500,68.81921643,0.100579612,0.00509772,17,-0.100805669,C,F,810,-0.340181357,1,Bad,29,0.337018556
989,44001004067,04/09/2017,45,13500,28.98693123,0.023926905,0.00214718,4,-1.802823334,B,M,870,0.244005386,5,Good,31,0.525134259
804,44001004173,04/09/2017,44,13200,16.75473915,0.014772776,0.001269298,4,-1.802823334,A,M,970,1.217649959,1,Bad,24.5,-0.086241777
836,44001004109,16/09/2017,35,13200,140.5716914,0.13108283,0.010649371,16,-0.231730105,A,M,950,1.022921045,2,Ok,11,-1.356022774
856,44001004101,08/09/2017,34,13200,70.02879808,0.078131833,0.005305212,8,-1.279125591,D,M,1000,1.509743331,4,Good,44.5,1.794915256
989,44001004067,27/09/2017,44,13200,328.8001086,0.30725374,0.024909099,27,1.208438689,B,M,870,0.244005386,5,Good,31,0.525134259
1006,44001004006,23/09/2017,43,12900,40.78112359,0.035648374,0.003161327,23,0.684740946,B,F,730,-1.119097016,2,Ok,14,-1.073849219
791,44001004168,18/09/2017,35,12900,132.8500313,0.130417592,0.010298452,18,0.030118767,A,F,760,-0.827003644,2,Ok,17,-0.791675664
918,44001004116,01/09/2017,25,12900,99.27114084,0.122284234,0.007695437,1,-2.195596641,C,M,750,-0.924368101,4,Good,37,1.089481369
1003,44001004036,17/09/2017,40,12600,88.83137521,0.094537532,0.007050109,17,-0.100805669,B,M,940,0.925556587,3,Ok,30,0.431076407
1006,44001004006,20/09/2017,39,12600,107.5416424,0.106369877,0.008535051,20,0.291967638,B,F,730,-1.119097016,2,Ok,14,-1.073849219
1006,44001004006,18/09/2017,32,12600,23.65321919,0.01732482,0.00187724,18,0.030118767,B,F,730,-1.119097016,2,Ok,14,-1.073849219
1008,44001004108,18/09/2017,35,12600,265.8467426,0.277423006,0.021098948,18,0.030118767,B,M,880,0.341369844,3,Ok,19,-0.603559961
859,44001004094,18/09/2017,38,12600,50.66410173,0.049581711,0.00402096,18,0.030118767,D,M,860,0.146640929,5,Good,23.5,-0.180299628
889,44001004030,17/09/2017,31,12600,45.93979054,0.058457921,0.003646015,17,-0.100805669,D,M,850,0.049276472,2,Ok,6.5,-1.779283106
814,44001004057,27/09/2017,26,12300,37.05650201,0.063107545,0.003012724,27,1.208438689,A,F,820,-0.2428169,3,Ok,44,1.747886331
834,44001004164,30/09/2017,39,12300,168.5597609,0.168500166,0.013704046,30,1.601211996,A,F,730,-1.119097016,1,Bad,13.5,-1.120878145
862,44001004095,29/09/2017,34,12300,56.59367837,0.058506053,0.004601112,29,1.47028756,C,M,940,0.925556587,0,Bad,26,0.054845001
886,44001004178,16/09/2017,33,12300,73.27280115,0.103538036,0.005957138,16,-0.231730105,D,M,990,1.412378874,2,Ok,13,-1.167907071
886,44001004178,17/09/2017,26,12300,21.15355469,0.034085668,0.001719801,17,-0.100805669,D,M,990,1.412378874,2,Ok,13,-1.167907071
949,44001004175,18/09/2017,33,12300,17.23881436,0.011636201,0.00140153,18,0.030118767,C,F,750,-0.924368101,1,Bad,24,-0.133270702
834,44001004164,25/09/2017,33,12000,314.9322373,0.299143838,0.026244353,25,0.946589817,A,F,730,-1.119097016,1,Bad,13.5,-1.120878145
836,44001004109,19/09/2017,41,12000,7.112217899,0.005631093,0.000592685,19,0.161043203,A,M,950,1.022921045,2,Ok,11,-1.356022774
889,44001004030,26/09/2017,40,12000,48.7429073,0.055119254,0.004061909,26,1.077514253,D,M,850,0.049276472,2,Ok,6.5,-1.779283106
989,44001004067,18/09/2017,36,12000,8.862303927,0.007930758,0.000738525,18,0.030118767,B,M,870,0.244005386,5,Good,31,0.525134259
811,44001004177,01/09/2017,37,11700,95.02599927,0.098576882,0.00812188,1,-2.195596641,A,F,710,-1.31382593,1,Bad,19.5,-0.556531035
853,44001004026,15/09/2017,35,11700,130.9427907,0.133350058,0.011191692,15,-0.36265454,D,F,770,-0.729639186,6,Good,24,-0.133270702
782,44001004063,09/09/2017,38,11400,303.016336,0.324828087,0.02658038,9,-1.148201155,A,F,900,0.536098758,1,Bad,30.5,0.478105333
836,44001004109,23/09/2017,39,11400,109.7789892,0.099476147,0.009629736,23,0.684740946,A,M,950,1.022921045,2,Ok,11,-1.356022774
877,44001004113,13/09/2017,31,11400,224.8774063,0.272385407,0.019726088,13,-0.624503412,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
1003,44001004036,09/09/2017,35,11100,226.07997,0.183400058,0.020367565,9,-1.148201155,B,M,940,0.925556587,3,Ok,30,0.431076407
856,44001004101,29/09/2017,38,11100,98.07356191,0.086373026,0.008835456,29,1.47028756,D,M,1000,1.509743331,4,Good,44.5,1.794915256
859,44001004094,17/09/2017,36,11100,73.52568951,0.086807233,0.006623936,17,-0.100805669,D,M,860,0.146640929,5,Good,23.5,-0.180299628
885,44001004077,27/09/2017,25,11100,70.8246025,0.077313636,0.006380595,27,1.208438689,C,F,670,-1.703283759,3,Ok,43,1.653828479
911,44001004114,08/09/2017,37,11100,149.0763068,0.122228804,0.013430298,8,-1.279125591,C,M,970,1.217649959,1,Bad,9,-1.544138477
963,44001004052,25/09/2017,38,11100,20.3050215,0.021995227,0.001829281,25,0.946589817,B,F,790,-0.534910272,3,Ok,30,0.431076407
1006,44001004006,16/09/2017,28,10800,98.03566033,0.1329955,0.009077376,16,-0.231730105,B,F,730,-1.119097016,2,Ok,14,-1.073849219
791,44001004168,19/09/2017,37,10800,138.5553911,0.162579605,0.012829203,19,0.161043203,A,F,760,-0.827003644,2,Ok,17,-0.791675664
853,44001004026,15/09/2017,35,10800,182.1930398,0.167581905,0.016869726,15,-0.36265454,D,F,770,-0.729639186,6,Good,24,-0.133270702
856,44001004101,24/09/2017,37,10800,51.60870635,0.061667676,0.004778584,24,0.815665381,D,M,1000,1.509743331,4,Good,44.5,1.794915256
918,44001004116,17/09/2017,37,10800,130.1945817,0.118104811,0.012055054,17,-0.100805669,C,M,750,-0.924368101,4,Good,37,1.089481369
963,44001004052,23/09/2017,37,10800,282.0665272,0.245734882,0.026117271,23,0.684740946,B,F,790,-0.534910272,3,Ok,30,0.431076407
842,44001004156,21/09/2017,36,10500,138.5937131,0.140492696,0.013199401,21,0.422892074,D,M,980,1.315014417,2,Ok,14.5,-1.026820293
877,44001004113,15/09/2017,28,10500,363.7023613,0.415933162,0.03463832,15,-0.36265454,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
885,44001004077,08/09/2017,36,10500,89.16454847,0.095075002,0.008491862,8,-1.279125591,C,F,670,-1.703283759,3,Ok,43,1.653828479
893,44001004127,20/09/2017,25,10500,117.8586131,0.215501387,0.01122463,20,0.291967638,D,F,720,-1.216461473,2,Ok,34.5,0.85433674
789,44001004160,17/09/2017,25,10200,80.46060962,0.086640587,0.007888295,17,-0.100805669,A,M,1000,1.509743331,1,Bad,30,0.431076407
811,44001004177,09/09/2017,35,10200,37.71686606,0.036700596,0.003697732,9,-1.148201155,A,F,710,-1.31382593,1,Bad,19.5,-0.556531035
814,44001004057,18/09/2017,31,10200,84.06071135,0.074666371,0.008241246,18,0.030118767,A,F,820,-0.2428169,3,Ok,44,1.747886331
836,44001004109,27/09/2017,35,10200,271.27312,0.280867777,0.026595404,27,1.208438689,A,M,950,1.022921045,2,Ok,11,-1.356022774
836,44001004109,08/09/2017,34,10200,114.6336078,0.109067837,0.011238589,8,-1.279125591,A,M,950,1.022921045,2,Ok,11,-1.356022774
853,44001004026,24/09/2017,34,10200,87.80750338,0.093459404,0.008608579,24,0.815665381,D,F,770,-0.729639186,6,Good,24,-0.133270702
886,44001004178,17/09/2017,34,10200,66.68324258,0.076750722,0.006537573,17,-0.100805669,D,M,990,1.412378874,2,Ok,13,-1.167907071
958,44001004135,26/09/2017,35,10200,64.62065141,0.08606804,0.006335358,26,1.077514253,B,F,760,-0.827003644,2,Ok,35,0.901365666
791,44001004168,15/09/2017,30,9900,283.2321246,0.247684695,0.028609306,15,-0.36265454,A,F,760,-0.827003644,2,Ok,17,-0.791675664
804,44001004173,29/09/2017,34,9900,28.80424007,0.022631501,0.002909519,29,1.47028756,A,M,970,1.217649959,1,Bad,24.5,-0.086241777
809,44001004153,20/09/2017,29,9900,17.46817905,0.02806885,0.001764463,20,0.291967638,A,M,940,0.925556587,1,Bad,19,-0.603559961
814,44001004057,15/09/2017,29,9900,40.17549547,0.053394588,0.004058131,15,-0.36265454,A,F,820,-0.2428169,3,Ok,44,1.747886331
893,44001004127,01/09/2017,23,9900,75.31676041,0.124070286,0.007607754,1,-2.195596641,D,F,720,-1.216461473,2,Ok,34.5,0.85433674
918,44001004116,21/09/2017,34,9900,22.39426658,0.021605381,0.002262047,21,0.422892074,C,M,750,-0.924368101,4,Good,37,1.089481369
940,44001004083,08/09/2017,31,9900,43.43964973,0.0312411,0.004387843,8,-1.279125591,C,M,970,1.217649959,1,Bad,14,-1.073849219
940,44001004083,29/09/2017,30,9900,246.9565518,0.230620325,0.024945106,29,1.47028756,C,M,970,1.217649959,1,Bad,14,-1.073849219
791,44001004168,19/09/2017,32,9600,110.6371376,0.12968739,0.011524702,19,0.161043203,A,F,760,-0.827003644,2,Ok,17,-0.791675664
809,44001004153,30/09/2017,33,9600,250.1491231,0.282092589,0.0260572,30,1.601211996,A,M,940,0.925556587,1,Bad,19,-0.603559961
844,44001004147,17/09/2017,31,9600,66.5467648,0.093486234,0.006931955,17,-0.100805669,D,M,900,0.536098758,3,Ok,17.5,-0.744646738
861,44001004103,09/09/2017,27,9600,215.2121358,0.225918875,0.022417931,9,-1.148201155,D,M,950,1.022921045,9,Good,4,-2.014427736
862,44001004095,24/09/2017,33,9600,105.4340521,0.112443469,0.010982714,24,0.815665381,C,M,940,0.925556587,0,Bad,26,0.054845001
911,44001004114,04/09/2017,32,9600,91.10923813,0.128117145,0.009490546,4,-1.802823334,C,M,970,1.217649959,1,Bad,9,-1.544138477
949,44001004175,08/09/2017,33,9600,211.3860211,0.255700685,0.022019377,8,-1.279125591,C,F,750,-0.924368101,1,Bad,24,-0.133270702
