"Bird","Sex","TrialNumber","medianTO","NumErrors"
861,"M",7,4,0
861,"M",12,4,2
861,"M",2,4,3
861,"M",10,4,0
861,"M",8,4,0
861,"M",6,4,0
861,"M",11,4,0
861,"M",9,4,0
861,"M",5,4,0
861,"M",4,4,0
862,"M",10,26,1
862,"M",6,26,2
862,"M",4,26,2
862,"M",11,26,2
862,"M",8,26,1
862,"M",9,26,1
862,"M",5,26,2
862,"M",3,26,2
862,"M",12,26,1
862,"M",7,26,3
862,"M",1,26,1
862,"M",2,26,1
874,"F",6,22.5,0
874,"F",9,22.5,0
874,"F",5,22.5,0
874,"F",3,22.5,1
874,"F",7,22.5,1
874,"F",10,22.5,0
874,"F",1,22.5,0
874,"F",2,22.5,0
874,"F",12,22.5,1
874,"F",4,22.5,0
874,"F",11,22.5,1
874,"F",8,22.5,0
877,"F",9,15.5,0
877,"F",1,15.5,2
877,"F",6,15.5,1
877,"F",7,15.5,1
877,"F",12,15.5,0
877,"F",5,15.5,0
877,"F",4,15.5,0
877,"F",11,15.5,0
877,"F",10,15.5,0
877,"F",3,15.5,1
877,"F",8,15.5,0
877,"F",2,15.5,0
884,"F",12,37,2
884,"F",6,37,0
884,"F",11,37,1
884,"F",8,37,0
884,"F",10,37,0
884,"F",9,37,0
884,"F",7,37,0
884,"F",5,37,0
884,"F",4,37,0
884,"F",3,37,1
884,"F",1,37,1
884,"F",2,37,0
885,"F",2,43,2
885,"F",9,43,3
885,"F",11,43,0
885,"F",10,43,0
885,"F",5,43,0
885,"F",1,43,8
885,"F",7,43,2
885,"F",6,43,3
885,"F",4,43,0
885,"F",8,43,7
885,"F",12,43,0
885,"F",3,43,2
886,"M",7,13,1
886,"M",10,13,1
886,"M",3,13,2
886,"M",4,13,0
886,"M",9,13,0
886,"M",5,13,1
886,"M",11,13,1
886,"M",12,13,0
886,"M",6,13,0
886,"M",2,13,3
886,"M",1,13,1
886,"M",8,13,0
887,"M",5,28,1
887,"M",3,28,1
887,"M",12,28,0
887,"M",7,28,1
887,"M",11,28,1
887,"M",9,28,1
887,"M",1,28,1
887,"M",4,28,1
887,"M",2,28,0
887,"M",6,28,1
887,"M",10,28,0
887,"M",8,28,1
889,"M",9,6.5,0
889,"M",12,6.5,3
889,"M",10,6.5,0
889,"M",1,6.5,6
889,"M",6,6.5,0
889,"M",7,6.5,1
889,"M",2,6.5,1
889,"M",11,6.5,2
889,"M",8,6.5,1
889,"M",3,6.5,2
889,"M",4,6.5,1
889,"M",5,6.5,2
892,"M",9,17.5,2
892,"M",10,17.5,0
892,"M",8,17.5,0
892,"M",12,17.5,0
892,"M",3,17.5,1
892,"M",5,17.5,0
892,"M",4,17.5,2
892,"M",6,17.5,2
892,"M",7,17.5,0
892,"M",1,17.5,2
892,"M",11,17.5,0
892,"M",2,17.5,1
893,"F",6,34.5,0
893,"F",11,34.5,0
893,"F",3,34.5,2
893,"F",1,34.5,0
893,"F",9,34.5,2
893,"F",2,34.5,4
893,"F",8,34.5,0
893,"F",4,34.5,4
893,"F",7,34.5,2
893,"F",10,34.5,1
893,"F",5,34.5,0
893,"F",12,34.5,0
905,"F",2,27,2
905,"F",5,27,6
905,"F",11,27,1
905,"F",9,27,1
905,"F",1,27,7
905,"F",7,27,5
905,"F",3,27,1
905,"F",8,27,1
905,"F",6,27,4
905,"F",4,27,1
905,"F",10,27,1
905,"F",12,27,1
911,"M",10,9,1
911,"M",2,9,3
911,"M",1,9,2
911,"M",5,9,12
911,"M",6,9,1
911,"M",8,9,1
911,"M",11,9,0
911,"M",12,9,2
911,"M",4,9,2
911,"M",3,9,1
911,"M",9,9,3
911,"M",7,9,5
918,"M",3,37,0
918,"M",1,37,2
